"Caudal","pH","Temperatura","Conductividad","Salinidad","Solidos.Totales","O2","O2p","DBO5","DQO","FT","NT","Turbidez","Coliformes"
950.8,7.65,27.6,573,0.2,286,0.85,9.797647072,80,147,1.9913,19.6151,439,4300000
19.98,7.81,25.1,666,0.3,334,4.36,51.71508325,200,401,4.17,29.0574,1779,6400000
1997,7.63,21.4,785,0.3,391,2.9,44.3,80,175,1.9097,24.4579,365,1.2e+07
651.1,7.7,27.4,946,0.4,476,0.2,2.2,150,289,2.7439,27.8472,232,9100000
7.25,7.9,30,1080,0.5,541,0.09,1.2,550,951,8.6459,64.0582,820,4e+06
17.71,8.47,24.2,178.5,0.05,89,7.16,97.8,3,9,0.1423,1.3457,6,3900
30.62,8.05,20.9,186.9,0.05,94,6.08,80.6,3,9,0.1135,1.6717,10,670
693.7,7.76,23.9,939,0.4,469,0.26,3.5,210,393,4.1251,36.0239,208,4300000
54.51,8.25,19.8,321,0.1,160,6.51,86.6,9,19,0.351,3.8612,5,1400
115.9,7.77,25.1,930,0.4,466,0.1,1.2,380,636,5.6273,55.243,305,1.1e+07
110,7.62,16.7,536,0.2,268,2.11,27.2,90,135,2.4314,24.7014,50,3700000
302.2,7.59,21.3,719,0.3,360,0.15,2.1,180,375,3.8129,34.352,221,8600000
613.4,7.8,24.4,1008,0.4,1010,0.37,7.9,320,476,6.6396,59.4033,285,1.4e+07
6.15,8.08,19.7,476,0.1,238,5.03,67,6,41,0.5744,3.7328,6,12000
28.06,7.78,15.9,580,0.2,290,2.96,37.8,70,107,2.7618,21.4803,35,1800000
311.3,7.12,21.2,528,0.2,264,3,39.1,550,1561,34.6941,81.6989,2200,5400000
101.3,7.8,24.8,907,0.4,454,0.69,15.1,400,631,7.3796,48.8,295,1e+07
1593,7.82,21.1,930,0.4,469,2.56,32.1,95,189,4.0576,28.8813,63,8600000
2.98,8.25,25.9,155.9,0.05,78,4.96,70.1,8,46,0.4393,2.1948,276,1500
19.09,8.08,21.2,175.5,0.05,93,4.71,84.4,3,5,0.1085,1.8298,4,430
1162,7.72,27.4,994,0.4,497,0.81,11.8,190,365,6.0104,48.1771,163,8600000
14.07,8.02,26.7,1048,0.5,252,2.04,29.8,260,494,11.576,56.8889,190,7800000
